"Time (s)";"Acceleration (m/s²)"
2.178909471E1;-5.802045912E-3
2.182943871E1;3.325384632E-2
2.186978271E1;-4.238354266E-3
2.191012671E1;-8.869056702E-3
2.195051037E1;3.247499719E-2
2.199085437E1;1.759544134E-2
2.203119937E1;-1.420858786E-2
2.207154338E1;-4.533346295E-3
2.211188737E1;1.724899381E-2
2.215226237E1;1.346906126E-2
2.219260637E1;2.445305586E-2
2.223295037E1;1.277616620E-3
2.227329537E1;-9.088765830E-3
2.231363938E1;2.522547305E-2
2.235401437E1;1.931920052E-2
2.239435837E1;-3.835334927E-3
2.243470238E1;-1.384211361E-2
2.247504637E1;3.744162217E-2
2.251539137E1;2.509902701E-2
2.255573538E1;-1.224041507E-2
2.259611038E1;6.275524199E-3
2.263645437E1;1.943058997E-2
2.267679838E1;1.738581866E-2
2.271714237E1;1.004259288E-3
2.275748737E1;8.656802773E-3
2.279786138E1;1.112915173E-2
2.283820638E1;-6.355192512E-3
2.287855037E1;1.441601783E-2
2.291889437E1;6.252720058E-3
2.295924863E1;2.169200063E-2
2.299962363E1;1.580429301E-2
2.303996762E1;-1.023145795E-2
2.308031262E1;1.087362841E-2
2.312065663E1;8.249251842E-3
2.316100062E1;1.837692171E-2
2.320137562E1;-4.846026152E-3
2.324171963E1;1.715865433E-2
2.328206362E1;-1.150220409E-2
2.332240763E1;9.918047190E-3
2.336275262E1;3.591286764E-2
2.340312662E1;1.613699958E-2
2.344347162E1;-2.485929117E-2
2.348381563E1;-1.349449664E-2
2.352415962E1;4.062513873E-2
2.356450362E1;2.231165931E-2
2.360484862E1;-1.889249995E-2
2.364522262E1;1.951669022E-2
2.368556762E1;2.513411030E-2
2.372591162E1;9.209510833E-3
2.376625562E1;1.942445040E-3
2.380659962E1;6.860245764E-4
2.384697463E1;8.262846619E-3
2.388731862E1;3.622467041E-2
2.392766362E1;7.608689368E-4
2.396800146E1;-3.070519120E-3
2.400834546E1;1.023058087E-2
2.404872046E1;-3.397524655E-3
2.408906446E1;1.588235334E-2
2.412940846E1;3.952147678E-2
2.416975346E1;-3.368142396E-3
2.421009746E1;-4.118924886E-3
2.425047246E1;1.063126132E-2
2.429081646E1;2.258472428E-2
2.433116046E1;4.667978436E-3
2.437150446E1;-2.055734843E-3
2.441184846E1;3.599838316E-2
2.445219346E1;-2.516787797E-3
2.449256746E1;1.315784320E-2
2.453291246E1;1.246757939E-2
2.457325646E1;1.549877599E-2
2.461360046E1;1.063228458E-2
2.465394446E1;-2.252347469E-3
2.469431946E1;1.610586315E-2
2.473466346E1;1.775857866E-2
2.477500846E1;1.466905609E-2
2.481535246E1;-5.038399547E-3
2.485569646E1;3.174029455E-2
2.489607146E1;2.682673305E-2
2.493641546E1;-5.126546323E-3
2.497676933E1;-7.287384868E-3
2.501711433E1;2.657851875E-3
2.505745833E1;2.536332116E-2
2.509783333E1;-1.011860669E-3
